model_name,attack_name,acc,prec,rec,f1,L0_pixels,L1,L2,Linf,power_mse,clean_accuracy,AD,RAD,asr_unconditional,time,n_samples
resnet18,APGD,0,0,0,0,50072.38786565547,2992.840977694593,8.725335118055085,0.03137257695198059,0.0005063102277901875,0.9229999999999999,0.9229999999999999,1.0,1.0,20.28650140762329,923
resnet18,APGDT,0,0,0,0,50150.25460455038,2797.966319967582,8.172687629191357,0.03137257693583632,0.00044471226538756494,0.9229999999999999,0.9229999999999999,1.0,1.0,21.96589756011963,923
resnet18,BIM,0,0,0,0,49228.733477789814,2815.7143626104585,8.51154741719123,0.03137257695198059,0.00048200396081419584,0.9229999999999999,0.9229999999999999,1.0,1.0,15.465361595153809,923
resnet18,CW,0.00216684723726977,0.00171573973100691,0.00227040816326531,0.00193308897345505,49058.33261105092,276.86631222742477,1.041535460645432,0.02854720936565461,7.670176432321753e-06,0.9229999999999999,0.9208331527627301,0.9976523865251682,0.9978331527627302,36.43618679046631,923
resnet18,DeepFool,0.178764897074756,0.177252677822786,0.178372102163058,0.174666042575184,49916.977248104005,161.05508292154616,0.6839057970483201,0.030444916470540345,4.639941932244836e-06,0.9229999999999999,0.7442351029252436,0.8063218883263745,0.8212351029252438,187.91785788536072,923
resnet18,DIFGSM,0,0,0,0,49279.144095341275,2681.166589606751,8.199761786930997,0.03137257695198059,0.00044706641738141565,0.9229999999999999,0.9229999999999999,1.0,1.0,17.132487535476685,923
resnet18,EADEN,0.00108342361863489,0.000719424460431655,0.00125,0.00091324200913242,8153.271939328278,35.15007916094487,0.7654366539962759,0.10193805615311713,5.089449659977017e-06,0.9229999999999999,0.921916576381365,0.998826193262584,0.9989165763813651,218.6956660747528,923
resnet18,EADL1,0.00325027085590466,0.00363200600216745,0.00342289170777543,0.00331777655763851,6931.290357529794,24.48496000892518,0.8641332146870063,0.15129984478957603,5.957563160678474e-06,0.9229999999999999,0.9197497291440953,0.9964785797877522,0.9967497291440953,211.77653813362122,923
resnet18,EOTPGD,0,0,0,0,50044.94257854821,2955.8726109662784,8.62044054353741,0.03137257695198059,0.0004941684934653681,0.9229999999999999,0.9229999999999999,1.0,1.0,23.18478751182556,923
resnet18,FAB,0.00541711809317443,0.00476386307183629,0.00590136054421769,0.00524662441443924,49762.61430119177,279.69798183120696,0.8055393359698769,0.002675075487073265,6.112836191777205e-06,0.9229999999999999,0.9175828819068255,0.9941309663129204,0.9945828819068255,84.54409766197205,923
resnet18,FFGSM,0.0715059588299025,0.070900176450983,0.0738527552468153,0.0713198279643182,49843.29902491874,3972.021447608427,10.68229803310572,0.03137257695198059,0.0007584235815201177,0.9229999999999999,0.8514940411700974,0.9225287553305498,0.9284940411700975,7.464739084243774,923
resnet18,FGSM,0.0769230769230769,0.0761673896511217,0.0801532243580302,0.0774405554601209,49860.89815817985,4593.586743455021,11.970727745915802,0.03137257695198059,0.0009527989351145221,0.9229999999999999,0.846076923076923,0.9166597216434702,0.9230769230769231,7.4199769496917725,923
resnet18,GN,0.633802816901408,0.848248147789898,0.63510983503265,0.674999104006205,50049.25893824486,11203.170697411633,36.659918263312406,0.4506170334110797,0.00894433264555016,0.9229999999999999,0.28919718309859144,0.31332305861169174,0.3661971830985915,6.570758104324341,923
resnet18,Jitter,0.0866738894907909,0.0936399349681412,0.0872839806258583,0.0884839433779476,50083.84723726977,2598.6760156038395,7.751055333622099,0.03137257693583632,0.0003992468529526661,0.9229999999999999,0.836326110509209,0.9060954610067271,0.9133261105092091,18.1528160572052,923
resnet18,MIFGSM,0,0,0,0,49838.96208017335,3794.3685259090603,10.543957364132964,0.03137257695198059,0.0007389442050372445,0.9229999999999999,0.9229999999999999,1.0,1.0,15.090699672698975,923
resnet18,NIFGSM,0,0,0,0,49868.83856988083,3867.331441133278,10.669966088085237,0.03137257695198059,0.0007567277973021339,0.9229999999999999,0.9229999999999999,1.0,1.0,15.074727535247803,923
resnet18,PGD,0,0,0,0,50045.50270855905,2957.460806833187,8.624471143162522,0.03137257695198059,0.0004946313154107244,0.9229999999999999,0.9229999999999999,1.0,1.0,14.845371723175049,923
resnet18,PGDL2,0.0671722643553629,0.067271626393746,0.0676665074147604,0.0672530547486471,50058.955579631634,250.58184123426707,0.9997892080123091,0.04134134186445892,6.640501715526207e-06,0.9229999999999999,0.855827735644637,0.9272239822802135,0.9328277356446371,15.401562213897705,923
resnet18,PGDRS,0,0,0,0,49272.13434452871,3024.3904710565075,8.869372789934681,0.03137257695198059,0.000524932575736998,0.9229999999999999,0.9229999999999999,1.0,1.0,29.50387167930603,923
resnet18,PGDRSL2,0.318526543878657,0.386434732016995,0.318133054271501,0.338468470705318,49548.28277356446,213.4911470010247,0.9999345918776283,0.05570161763986296,6.6424502502807254e-06,0.9229999999999999,0.6044734561213434,0.6549008191997221,0.6814734561213435,37.26614999771118,923
resnet18,RFGSM,0,0,0,0,50038.73022751896,2922.116827240486,8.460147131819637,0.03137257695198059,0.0004760959499211879,0.9229999999999999,0.9229999999999999,1.0,1.0,15.107115745544434,923
resnet18,SINIFGSM,0,0,0,0,49858.144095341275,3909.0765231412515,10.751632446586633,0.03137257695198059,0.0007683844200889393,0.9229999999999999,0.9229999999999999,1.0,1.0,48.90352988243103,923
resnet18,SPSA,0.50752688172043,0.516368654135142,0.49870502256331,0.502875570652301,50159.804301075266,3366.1668094758065,9.539865102050126,0.03137257695198059,0.0006048839751465787,0.93,0.4224731182795699,0.4542721701930859,0.49247311827956985,185.89253544807434,465
resnet18,TIFGSM,0.0021505376344086,0.00172413793103448,0.00263157894736842,0.00208333333333333,49805.81720430108,3006.817510920699,8.909475625971313,0.03137257695198059,0.0005282279863197517,0.93,0.9278494623655914,0.9976875939414961,0.9978494623655914,52.00752902030945,465
resnet18,TPGD,0.466666666666667,0.467591224848498,0.464797358302589,0.461485620354132,50034.71182795699,2816.0334651167673,8.457295248585362,0.03137257695198059,0.00047593588605322827,0.93,0.46333333333333343,0.4982078853046596,0.5333333333333334,52.50887441635132,465
resnet18,UPGD,0,0,0,0,49825.51827956989,3792.9478972404236,10.54098750698951,0.03137257695198059,0.0007385328964089915,0.93,0.93,1.0,1.0,51.282965421676636,465
resnet18,VMIFGSM,0,0,0,0,49844.320430107524,3854.9270912088373,10.653411803707,0.03137257695198059,0.0007544121308182116,0.93,0.93,1.0,1.0,251.04527759552002,465
resnet18,VNIFGSM,0,0,0,0,49869.868817204304,3933.8271253360217,10.792078001781176,0.03137257695198059,0.0007742758025415242,0.93,0.93,1.0,1.0,251.04413318634033,465
resnet18,OnePixel,0.987096774193548,0.985239764502437,0.986840513983371,0.985955412550846,1.0,1.4024676891424324,0.8792667395645573,0.6623711604905385,5.571367449569132e-06,0.93,0.0,0.0,0.012903225806451646,56.306618452072144,465
resnet18,Pixle,0.326881720430108,0.455405478060678,0.33473544541132,0.338883506099228,527.8301075268818,436.6696011697092,13.624632156536144,0.8885178215401147,0.0013807827503447326,0.93,0.6031182795698925,0.6485142791074112,0.6731182795698925,460.9459183216095,465
resnet18,Square,0.191397849462366,0.194950118908073,0.192893526085746,0.1887745358086,40461.20215053763,3721.5047988071237,9.690457009756438,0.02536793319127893,0.0007720373260478179,0.93,0.7386021505376344,0.7941958607931553,0.8086021505376344,1415.0882124900818,465
