source_model,target_model,attack_name,total_images,total_successful_attacks,transfer_success,transfer_rate,attack_success_rate,timestamp
resnet18,vgg16,APGD,500,500,67,0.134,1.0,2025-09-24 07:00:09
resnet18,densenet121,APGD,500,500,89,0.178,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,APGD,500,500,40,0.08,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,APGD,500,500,29,0.058,1.0,2025-09-24 07:00:09
resnet18,vgg16,APGDT,500,500,55,0.11,1.0,2025-09-24 07:00:09
resnet18,densenet121,APGDT,500,500,42,0.084,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,APGDT,500,500,36,0.072,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,APGDT,500,500,25,0.05,1.0,2025-09-24 07:00:09
resnet18,vgg16,BIM,500,500,77,0.154,1.0,2025-09-24 07:00:09
resnet18,densenet121,BIM,500,500,128,0.256,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,BIM,500,500,66,0.132,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,BIM,500,500,52,0.104,1.0,2025-09-24 07:00:09
resnet18,vgg16,CW,500,500,22,0.044,1.0,2025-09-24 07:00:09
resnet18,densenet121,CW,500,500,4,0.008,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,CW,500,500,3,0.006,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,CW,500,500,5,0.01,1.0,2025-09-24 07:00:09
resnet18,vgg16,DeepFool,500,500,21,0.042,1.0,2025-09-24 07:00:09
resnet18,densenet121,DeepFool,500,500,2,0.004,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,DeepFool,500,500,1,0.002,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,DeepFool,500,500,3,0.006,1.0,2025-09-24 07:00:09
resnet18,vgg16,DIFGSM,500,500,117,0.234,1.0,2025-09-24 07:00:09
resnet18,densenet121,DIFGSM,500,500,223,0.446,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,DIFGSM,500,500,97,0.194,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,DIFGSM,500,500,97,0.194,1.0,2025-09-24 07:00:09
resnet18,vgg16,EADEN,500,500,20,0.04,1.0,2025-09-24 07:00:09
resnet18,densenet121,EADEN,500,500,4,0.008,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,EADEN,500,500,4,0.008,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,EADEN,500,500,4,0.008,1.0,2025-09-24 07:00:09
resnet18,vgg16,EADL1,500,500,19,0.038,1.0,2025-09-24 07:00:09
resnet18,densenet121,EADL1,500,500,4,0.008,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,EADL1,500,500,4,0.008,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,EADL1,500,500,2,0.004,1.0,2025-09-24 07:00:09
resnet18,vgg16,EOTPGD,500,500,48,0.096,1.0,2025-09-24 07:00:09
resnet18,densenet121,EOTPGD,500,500,96,0.192,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,EOTPGD,500,500,46,0.092,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,EOTPGD,500,500,33,0.066,1.0,2025-09-24 07:00:09
resnet18,vgg16,FAB,500,500,26,0.052,1.0,2025-09-24 07:00:09
resnet18,densenet121,FAB,500,500,5,0.01,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,FAB,500,500,2,0.004,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,FAB,500,500,5,0.01,1.0,2025-09-24 07:00:09
resnet18,vgg16,FFGSM,500,500,76,0.152,1.0,2025-09-24 07:00:09
resnet18,densenet121,FFGSM,500,500,77,0.154,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,FFGSM,500,500,58,0.116,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,FFGSM,500,500,41,0.082,1.0,2025-09-24 07:00:09
resnet18,vgg16,FGSM,500,500,87,0.174,1.0,2025-09-24 07:00:09
resnet18,densenet121,FGSM,500,500,85,0.17,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,FGSM,500,500,57,0.114,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,FGSM,500,500,52,0.104,1.0,2025-09-24 07:00:09
resnet18,vgg16,GN,453,453,187,0.41280353200883,1.0,2025-09-24 07:00:09
resnet18,densenet121,GN,453,453,180,0.3973509933774834,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,GN,453,453,209,0.4613686534216336,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,GN,453,453,406,0.8962472406181016,1.0,2025-09-24 07:00:09
resnet18,vgg16,Jitter,500,500,36,0.072,1.0,2025-09-24 07:00:09
resnet18,densenet121,Jitter,500,500,28,0.056,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,Jitter,500,500,20,0.04,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,Jitter,500,500,17,0.034,1.0,2025-09-24 07:00:09
resnet18,vgg16,MIFGSM,500,500,111,0.222,1.0,2025-09-24 07:00:09
resnet18,densenet121,MIFGSM,500,500,168,0.336,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,MIFGSM,500,500,86,0.172,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,MIFGSM,500,500,78,0.156,1.0,2025-09-24 07:00:09
resnet18,vgg16,NIFGSM,500,500,89,0.178,1.0,2025-09-24 07:00:09
resnet18,densenet121,NIFGSM,500,500,109,0.218,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,NIFGSM,500,500,74,0.148,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,NIFGSM,500,500,59,0.118,1.0,2025-09-24 07:00:09
resnet18,vgg16,PGD,500,500,70,0.14,1.0,2025-09-24 07:00:09
resnet18,densenet121,PGD,500,500,107,0.214,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,PGD,500,500,46,0.092,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,PGD,500,500,41,0.082,1.0,2025-09-24 07:00:09
resnet18,vgg16,PGDL2,500,500,39,0.078,1.0,2025-09-24 07:00:09
resnet18,densenet121,PGDL2,500,500,20,0.04,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,PGDL2,500,500,7,0.014,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,PGDL2,500,500,10,0.02,1.0,2025-09-24 07:00:09
resnet18,vgg16,PGDRS,500,500,104,0.208,1.0,2025-09-24 07:00:09
resnet18,densenet121,PGDRS,500,500,186,0.372,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,PGDRS,500,500,97,0.194,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,PGDRS,500,500,83,0.166,1.0,2025-09-24 07:00:09
resnet18,vgg16,PGDRSL2,500,500,58,0.116,1.0,2025-09-24 07:00:09
resnet18,densenet121,PGDRSL2,500,500,17,0.034,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,PGDRSL2,500,500,11,0.022,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,PGDRSL2,500,500,9,0.018,1.0,2025-09-24 07:00:09
resnet18,vgg16,RFGSM,500,500,71,0.142,1.0,2025-09-24 07:00:09
resnet18,densenet121,RFGSM,500,500,117,0.234,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,RFGSM,500,500,61,0.122,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,RFGSM,500,500,50,0.1,1.0,2025-09-24 07:00:09
resnet18,vgg16,SINIFGSM,500,500,130,0.26,1.0,2025-09-24 07:00:09
resnet18,densenet121,SINIFGSM,500,500,171,0.342,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,SINIFGSM,500,500,95,0.19,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,SINIFGSM,500,500,81,0.162,1.0,2025-09-24 07:00:09
resnet18,vgg16,SPSA,500,500,65,0.13,1.0,2025-09-24 07:00:09
resnet18,densenet121,SPSA,500,500,49,0.098,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,SPSA,500,500,62,0.124,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,SPSA,500,500,422,0.844,1.0,2025-09-24 07:00:09
resnet18,vgg16,TIFGSM,500,500,66,0.132,1.0,2025-09-24 07:00:09
resnet18,densenet121,TIFGSM,500,500,100,0.2,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,TIFGSM,500,500,35,0.07,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,TIFGSM,500,500,44,0.088,1.0,2025-09-24 07:00:09
resnet18,vgg16,TPGD,500,500,74,0.148,1.0,2025-09-24 07:00:09
resnet18,densenet121,TPGD,500,500,144,0.288,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,TPGD,500,500,81,0.162,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,TPGD,500,500,60,0.12,1.0,2025-09-24 07:00:09
resnet18,vgg16,UPGD,500,500,94,0.188,1.0,2025-09-24 07:00:09
resnet18,densenet121,UPGD,500,500,181,0.362,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,UPGD,500,500,81,0.162,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,UPGD,500,500,72,0.144,1.0,2025-09-24 07:00:09
resnet18,vgg16,VMIFGSM,500,500,157,0.314,1.0,2025-09-24 07:00:09
resnet18,densenet121,VMIFGSM,500,500,229,0.458,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,VMIFGSM,500,500,137,0.274,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,VMIFGSM,500,500,130,0.26,1.0,2025-09-24 07:00:09
resnet18,vgg16,VNIFGSM,500,500,155,0.31,1.0,2025-09-24 07:00:09
resnet18,densenet121,VNIFGSM,500,500,245,0.49,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,VNIFGSM,500,500,142,0.284,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,VNIFGSM,500,500,112,0.224,1.0,2025-09-24 07:00:09
resnet18,vgg16,Pixle,500,500,112,0.224,1.0,2025-09-24 07:00:09
resnet18,densenet121,Pixle,500,500,34,0.068,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,Pixle,500,500,12,0.024,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,Pixle,500,500,15,0.03,1.0,2025-09-24 07:00:09
resnet18,vgg16,Square,500,500,46,0.092,1.0,2025-09-24 07:00:09
resnet18,densenet121,Square,500,500,12,0.024,1.0,2025-09-24 07:00:09
resnet18,mobilenet_v2,Square,500,500,12,0.024,1.0,2025-09-24 07:00:09
resnet18,efficientnet_b0,Square,500,500,14,0.028,1.0,2025-09-24 07:00:09
vgg16,resnet18,APGD,500,500,89,0.178,1.0,2025-09-24 07:00:09
vgg16,densenet121,APGD,500,500,59,0.118,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,APGD,500,500,78,0.156,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,APGD,500,500,49,0.098,1.0,2025-09-24 07:00:09
vgg16,resnet18,APGDT,500,500,29,0.058,1.0,2025-09-24 07:00:09
vgg16,densenet121,APGDT,500,500,18,0.036,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,APGDT,500,500,27,0.054,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,APGDT,500,500,29,0.058,1.0,2025-09-24 07:00:09
vgg16,resnet18,BIM,500,500,101,0.202,1.0,2025-09-24 07:00:09
vgg16,densenet121,BIM,500,500,87,0.174,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,BIM,500,500,87,0.174,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,BIM,500,500,76,0.152,1.0,2025-09-24 07:00:09
vgg16,resnet18,CW,500,500,8,0.016,1.0,2025-09-24 07:00:09
vgg16,densenet121,CW,500,500,0,0.0,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,CW,500,500,2,0.004,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,CW,500,500,5,0.01,1.0,2025-09-24 07:00:09
vgg16,resnet18,DeepFool,500,500,15,0.03,1.0,2025-09-24 07:00:09
vgg16,densenet121,DeepFool,500,500,5,0.01,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,DeepFool,500,500,3,0.006,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,DeepFool,500,500,0,0.0,1.0,2025-09-24 07:00:09
vgg16,resnet18,DIFGSM,500,500,143,0.286,1.0,2025-09-24 07:00:09
vgg16,densenet121,DIFGSM,500,500,145,0.29,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,DIFGSM,500,500,105,0.21,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,DIFGSM,500,500,104,0.208,1.0,2025-09-24 07:00:09
vgg16,resnet18,EADEN,500,500,7,0.014,1.0,2025-09-24 07:00:09
vgg16,densenet121,EADEN,500,500,3,0.006,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,EADEN,500,500,2,0.004,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,EADEN,500,500,1,0.002,1.0,2025-09-24 07:00:09
vgg16,resnet18,EADL1,500,500,7,0.014,1.0,2025-09-24 07:00:09
vgg16,densenet121,EADL1,500,500,2,0.004,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,EADL1,500,500,5,0.01,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,EADL1,500,500,6,0.012,1.0,2025-09-24 07:00:09
vgg16,resnet18,EOTPGD,500,500,102,0.204,1.0,2025-09-24 07:00:09
vgg16,densenet121,EOTPGD,500,500,95,0.19,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,EOTPGD,500,500,85,0.17,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,EOTPGD,500,500,61,0.122,1.0,2025-09-24 07:00:09
vgg16,resnet18,FAB,500,500,10,0.02,1.0,2025-09-24 07:00:09
vgg16,densenet121,FAB,500,500,3,0.006,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,FAB,500,500,4,0.008,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,FAB,500,500,3,0.006,1.0,2025-09-24 07:00:09
vgg16,resnet18,FFGSM,500,500,86,0.172,1.0,2025-09-24 07:00:09
vgg16,densenet121,FFGSM,500,500,59,0.118,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,FFGSM,500,500,61,0.122,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,FFGSM,500,500,50,0.1,1.0,2025-09-24 07:00:09
vgg16,resnet18,FGSM,500,500,98,0.196,1.0,2025-09-24 07:00:09
vgg16,densenet121,FGSM,500,500,80,0.16,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,FGSM,500,500,76,0.152,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,FGSM,500,500,71,0.142,1.0,2025-09-24 07:00:09
vgg16,resnet18,GN,361,361,154,0.4265927977839335,1.0,2025-09-24 07:00:09
vgg16,densenet121,GN,361,361,98,0.27146814404432135,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,GN,361,361,147,0.407202216066482,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,GN,361,361,339,0.9390581717451524,1.0,2025-09-24 07:00:09
vgg16,resnet18,Jitter,500,500,29,0.058,1.0,2025-09-24 07:00:09
vgg16,densenet121,Jitter,500,500,19,0.038,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,Jitter,500,500,29,0.058,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,Jitter,500,500,24,0.048,1.0,2025-09-24 07:00:09
vgg16,resnet18,MIFGSM,500,500,134,0.268,1.0,2025-09-24 07:00:09
vgg16,densenet121,MIFGSM,500,500,124,0.248,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,MIFGSM,500,500,112,0.224,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,MIFGSM,500,500,91,0.182,1.0,2025-09-24 07:00:09
vgg16,resnet18,NIFGSM,500,500,106,0.212,1.0,2025-09-24 07:00:09
vgg16,densenet121,NIFGSM,500,500,100,0.2,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,NIFGSM,500,500,112,0.224,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,NIFGSM,500,500,80,0.16,1.0,2025-09-24 07:00:09
vgg16,resnet18,PGD,500,500,100,0.2,1.0,2025-09-24 07:00:09
vgg16,densenet121,PGD,500,500,79,0.158,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,PGD,500,500,86,0.172,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,PGD,500,500,59,0.118,1.0,2025-09-24 07:00:09
vgg16,resnet18,PGDL2,500,500,18,0.036,1.0,2025-09-24 07:00:09
vgg16,densenet121,PGDL2,500,500,14,0.028,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,PGDL2,500,500,14,0.028,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,PGDL2,500,500,14,0.028,1.0,2025-09-24 07:00:09
vgg16,resnet18,PGDRS,500,500,38,0.076,1.0,2025-09-24 07:00:09
vgg16,densenet121,PGDRS,500,500,31,0.062,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,PGDRS,500,500,30,0.06,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,PGDRS,500,500,21,0.042,1.0,2025-09-24 07:00:09
vgg16,resnet18,PGDRSL2,500,500,34,0.068,1.0,2025-09-24 07:00:09
vgg16,densenet121,PGDRSL2,500,500,14,0.028,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,PGDRSL2,500,500,16,0.032,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,PGDRSL2,500,500,13,0.026,1.0,2025-09-24 07:00:09
vgg16,resnet18,RFGSM,500,500,110,0.22,1.0,2025-09-24 07:00:09
vgg16,densenet121,RFGSM,500,500,89,0.178,1.0,2025-09-24 07:00:09
vgg16,mobilenet_v2,RFGSM,500,500,88,0.176,1.0,2025-09-24 07:00:09
vgg16,efficientnet_b0,RFGSM,500,500,77,0.154,1.0,2025-09-24 07:00:09
vgg16,resnet18,SINIFGSM,500,500,89,0.178,1.0,2025-09-24 07:00:09
vgg16,densenet121,SINIFGSM,500,500,65,0.13,1.0,2025-09-24 07:00:09
